Index,Filename,AVG CPU Cycles / ms,AVG MEM Changes / ms,AVG Wattage,Length of observation period,AVG Raleway Load Time,AVG Montserrat Load Time,AVG SourceSans Load Time
103,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 22.09 profile.json,26187832,33348.483010407486,0.001475488333,74.974,23.545,44.807,38.488
104,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 22.10 profile(1).json,26354612,40845.05170476307,0.00162443,83.007,23.984,40.583,46.342
105,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 22.10 profile(2).json,26021943,38432.19880853559,0.001639578334,84.193,24.168,40.018,49.534
106,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 22.10 profile.json,25395764,34838.61661526389,0.001509123056,77.773,22.856,42.522,45.139
107,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 22.11 profile(1).json,26292800,33233.32596736452,0.0016751447219999999,83.313,23.364,46.617,45.619
108,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 22.11 profile(2).json,26473298,36181.563114991455,0.001613890556,81.284,24.721,39.852,48.316
109,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 22.11 profile.json,26013013,47156.58746834062,0.0015021588879999999,77.792,23.987,33.077,44.745
110,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 22.12 profile(1).json,25922926,34803.738294704155,0.001611348889,81.066,26.143,49.887,48.844
111,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 22.12 profile(2).json,26026953,36298.023210332896,0.001588931389,82.593,26.797,34.532,47.835
112,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 22.12 profile(3).json,26169903,33808.457517175346,0.0015515519449999999,79.476,26.739,47.761,35.991
113,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 22.12 profile.json,25231415,34091.534577225175,0.0016158052769999999,83.277,26.074,41.529,47.886
114,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 22.13 profile(1).json,26383172,37410.96276865431,0.0015749522219999999,80.126,26.737,48.754,47.778
115,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 22.13 profile(2).json,26195817,41988.74221097115,0.001535573334,79.084,24.335,38.023,43.018
116,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 22.13 profile.json,26971422,26820.073724447364,0.001488806667,76.366,26.739,38.651,44.719
117,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 22.14 profile(1).json,26023818,19617.390644568768,0.001523983333,76.779,17.22,34.074,42.605
118,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 22.14 profile(2).json,25568362,37350.22614393,0.001551179167,80.0,24.118,39.207,45.703
119,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 22.14 profile.json,26994667,27394.427192735933,0.0015316591669999999,77.956,28.277,38.351,46.417
