Index,Filename,AVG CPU Cycles / ms,AVG MEM Changes / ms,AVG Wattage,Length of observation period,AVG Raleway Load Time,AVG Montserrat Load Time,AVG SourceSans Load Time
243,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.23 profile(2).json,13882338,28399.854372190825,0.001741194167,91.717,26.501,33.092,37.367
244,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.23 profile(3).json,15056939,34731.20471434036,0.001716743333,91.082,26.172,38.851,31.589
245,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.23 profile.json,14061900,34495.69693322906,0.0017209624999999999,92.278,23.945,37.253,29.784
246,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.24 profile(1).json,12590885,47193.49732706788,0.0008409697229999999,42.201,29.633,43.322,33.962
247,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.24 profile(2).json,14128349,19217.192019654594,0.0019859058329999998,107.295,24.086,36.573,31.481
248,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.24 profile.json,13584432,22697.43059726303,0.001850977222,100.002,25.229,39.098,32.578
249,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.25 profile(1).json,12977721,67195.40629247847,0.0008289561109999999,40.878,30.668,42.964,42.279
250,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.25 profile(2).json,12785963,39021.37017183742,0.0015400975,82.75,28.791,42.64,31.843
251,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.25 profile.json,12771099,60833.87693306156,0.000733338611,36.019,25.251,36.675,36.482
252,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.26 profile(1).json,13658620,39615.073832794566,0.000745487777,37.931,23.012,33.482,27.876
253,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.26 profile(2).json,14572099,40803.86623890965,0.000850509444,41.626,24.554,40.543,28.34
254,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.26 profile(3).json,13228880,28385.099577702727,0.001924956666,103.687,28.417,46.446,37.964
255,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.26 profile.json,13735180,28451.08715354392,0.0016576241669999999,87.083,22.844,36.424,28.433
256,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.27 profile(1).json,13630892,27972.842390552425,0.001635376111,88.23,27.392,41.539,32.859
257,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.27 profile(2).json,13165415,32502.846759379216,0.000878061111,43.118,24.763,44.977,32.417
258,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.27 profile.json,13363174,38240.51580484612,0.000865556111,42.283,29.085,37.307,32.069
259,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.28 profile(1).json,14714038,28300.082064740236,0.001880274166,99.177,24.322,37.145,29.572
260,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.28 profile(2).json,13471075,41128.81302828708,0.000831175833,40.3,26.531,41.046,28.104
261,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.28 profile.json,12824549,34624.90670049059,0.001628886389,87.115,29.524,37.214,39.001
262,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.29 profile(1).json,13499445,32569.5360685454,0.0007785802769999999,39.041,28.615,42.064,39.261
