Index,Filename,AVG CPU Cycles / ms,AVG MEM Changes / ms,AVG Wattage,Length of observation period,AVG Raleway Load Time,AVG Montserrat Load Time,AVG SourceSans Load Time
306,analysis/data_extraction/input/TTF\Firefox 2023-11-21 03.11 profile.json,23116931,36265.96341719199,0.001739008334,89.892,31.815,41.966,59.833
307,analysis/data_extraction/input/TTF\Firefox 2023-11-21 03.12 profile(1).json,23580846,29589.942547843453,0.001586745556,82.134,31.393,42.549,52.824
308,analysis/data_extraction/input/TTF\Firefox 2023-11-21 03.12 profile(2).json,24376732,22798.35091484794,0.00154513,79.879,51.311,44.346,50.428
309,analysis/data_extraction/input/TTF\Firefox 2023-11-21 03.12 profile(3).json,23788300,39829.25219025966,0.001585271389,81.714,27.754,47.792,45.069
310,analysis/data_extraction/input/TTF\Firefox 2023-11-21 03.12 profile.json,23647027,25484.419375762234,0.001626971667,83.73,55.532,38.405,49.947
311,analysis/data_extraction/input/TTF\Firefox 2023-11-21 03.13 profile(1).json,24490493,36509.15701420705,0.001688903611,85.884,29.403,45.722,54.309
312,analysis/data_extraction/input/TTF\Firefox 2023-11-21 03.13 profile(2).json,23031700,34042.62171326326,0.001642865556,82.957,28.334,50.658,54.961
313,analysis/data_extraction/input/TTF\Firefox 2023-11-21 03.13 profile.json,22900827,31129.225854081054,0.001576578889,80.782,29.732,51.367,54.351
314,analysis/data_extraction/input/TTF\Firefox 2023-11-21 03.14 profile(1).json,23362486,29727.855070641344,0.001603757778,80.256,27.347,40.824,50.116
315,analysis/data_extraction/input/TTF\Firefox 2023-11-21 03.14 profile(2).json,25260560,26075.165481493517,0.001784538055,90.694,27.753,46.065,54.462
316,analysis/data_extraction/input/TTF\Firefox 2023-11-21 03.14 profile.json,24400877,19136.833540843927,0.001756088333,92.123,60.51,49.887,60.466
317,analysis/data_extraction/input/TTF\Firefox 2023-11-21 03.15 profile(1).json,23129413,33318.786981936915,0.001550653889,79.425,27.537,40.38,47.349
318,analysis/data_extraction/input/TTF\Firefox 2023-11-21 03.15 profile(2).json,22599004,28536.63313038206,0.001517629167,79.32,23.653,44.644,48.791
319,analysis/data_extraction/input/TTF\Firefox 2023-11-21 03.15 profile(3).json,23636722,24199.331396212012,0.001563040277,80.429,53.076,41.67,50.93
320,analysis/data_extraction/input/TTF\Firefox 2023-11-21 03.15 profile.json,22648622,30855.26834631512,0.001452952222,75.45,25.461,47.053,46.063
321,analysis/data_extraction/input/TTF\Firefox 2023-11-21 03.16 profile(1).json,23718602,25653.543083023786,0.001608400556,84.039,55.706,46.922,51.906
322,analysis/data_extraction/input/TTF\Firefox 2023-11-21 03.16 profile(2).json,23428399,27401.28506631554,0.001569818056,80.691,31.966,42.967,53.174
323,analysis/data_extraction/input/TTF\Firefox 2023-11-21 03.16 profile.json,23153666,38904.63864269852,0.001488416944,77.694,26.534,45.915,47.313
324,analysis/data_extraction/input/TTF\Firefox 2023-11-21 03.17 profile(1).json,22657462,34708.556966156175,0.001597488333,81.971,28.733,49.021,52.624
325,analysis/data_extraction/input/TTF\Firefox 2023-11-21 03.17 profile(2).json,23701248,33224.55242677783,0.001754461667,90.257,29.001,45.228,59.694
326,analysis/data_extraction/input/TTF\Firefox 2023-11-21 03.17 profile.json,24599662,38551.616143354906,0.001676839167,85.874,28.668,45.947,55.433
327,analysis/data_extraction/input/TTF\Firefox 2023-11-21 03.18 profile(1).json,23953421,35347.11229856868,0.001692089166,87.827,27.017,43.713,55.343
328,analysis/data_extraction/input/TTF\Firefox 2023-11-21 03.18 profile(2).json,22642156,33924.84474991075,0.001591591667,81.588,55.39,46.871,55.06
329,analysis/data_extraction/input/TTF\Firefox 2023-11-21 03.18 profile.json,25995529,40706.56936635669,0.0015994030549999999,82.323,31.073,50.993,56.833
330,analysis/data_extraction/input/TTF\Firefox 2023-11-21 03.19 profile(1).json,25229608,28190.03723423415,0.0016771102779999999,85.678,35.082,52.348,60.4
331,analysis/data_extraction/input/TTF\Firefox 2023-11-21 03.19 profile(2).json,22966769,29887.51609803865,0.001705390555,88.779,57.716,46.641,52.022
