Index,Filename,AVG CPU Cycles / ms,AVG MEM Changes / ms,AVG Wattage,Length of observation period,AVG Raleway Load Time,AVG Montserrat Load Time,AVG SourceSans Load Time
447,analysis/data_extraction/input/WOFF\Firefox 2023-11-21 21.12 profile(2).json,30618524,40312.830680690706,0.001667519722,83.266,28.955,41.542,52.867
448,analysis/data_extraction/input/WOFF\Firefox 2023-11-21 21.12 profile.json,30451429,32016.158315241297,0.0016460680559999999,82.428,35.015,46.909,51.405
449,analysis/data_extraction/input/WOFF\Firefox 2023-11-21 21.13 profile(1).json,30335876,32398.995898227713,0.001771745,90.406,36.474,49.867,61.383
450,analysis/data_extraction/input/WOFF\Firefox 2023-11-21 21.13 profile(2).json,30988211,45257.94545174242,0.001593879167,81.574,28.801,41.515,52.466
451,analysis/data_extraction/input/WOFF\Firefox 2023-11-21 21.13 profile(3).json,27912185,33966.01041500587,0.001596200555,81.428,28.706,38.894,52.322
452,analysis/data_extraction/input/WOFF\Firefox 2023-11-21 21.13 profile.json,26640498,37124.42379319136,0.001574291389,81.017,32.281,48.583,53.28
453,analysis/data_extraction/input/WOFF\Firefox 2023-11-21 21.14 profile(1).json,28899884,31304.544616318773,0.001707983056,85.712,41.775,44.986,57.06
454,analysis/data_extraction/input/WOFF\Firefox 2023-11-21 21.14 profile(2).json,29586259,43737.71289550802,0.001701340833,86.742,34.493,50.145,57.326
455,analysis/data_extraction/input/WOFF\Firefox 2023-11-21 21.14 profile.json,29077999,29992.553521294023,0.001793535555,90.471,32.431,52.833,55.567
456,analysis/data_extraction/input/WOFF\Firefox 2023-11-21 21.15 profile(1).json,31164185,38173.694561464006,0.001656133055,84.024,30.995,39.82,49.971
457,analysis/data_extraction/input/WOFF\Firefox 2023-11-21 21.15 profile(2).json,30212268,26405.2590019413,0.001720132222,87.874,37.101,50.034,56.188
458,analysis/data_extraction/input/WOFF\Firefox 2023-11-21 21.15 profile.json,29335815,33611.444472259755,0.001592879444,81.759,35.999,46.16,50.68
459,analysis/data_extraction/input/WOFF\Firefox 2023-11-21 21.16 profile(1).json,28339871,33313.83999220404,0.001569513056,79.176,38.263,41.545,54.458
460,analysis/data_extraction/input/WOFF\Firefox 2023-11-21 21.16 profile(2).json,29103112,32599.791999239365,0.001599928334,82.114,31.172,50.392,54.577
461,analysis/data_extraction/input/WOFF\Firefox 2023-11-21 21.16 profile(3).json,30694268,39371.40231990826,0.001632495555,83.021,28.552,41.0,51.612
462,analysis/data_extraction/input/WOFF\Firefox 2023-11-21 21.16 profile.json,30846825,31449.917846810255,0.001779081945,90.027,33.888,46.123,57.273
463,analysis/data_extraction/input/WOFF\Firefox 2023-11-21 21.17 profile(1).json,30716910,29876.48030912773,0.001593048889,80.646,34.285,41.449,54.59
464,analysis/data_extraction/input/WOFF\Firefox 2023-11-21 21.17 profile(2).json,31128666,31934.051011713862,0.001802905833,91.767,36.713,43.507,54.607
